# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI);
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.;
# ;
# ;
# STN      LON(east)   LAT(north)     ALT(m)  NAME;
# 260:         5.180       52.100       1.90  DE BILT;
# ;
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# TN       = Minimum temperatuur (in 0.1 graden Celsius);
# ;
# STN,YYYYMMDD,   TN;
# ;
  260,20021114,   71;
  260,20021115,   21;
  260,20021116,   39;
  260,20021117,   73;
  260,20021118,   70;
  260,20021119,   53;
  260,20021120,   24;
  260,20021121,   70;
  260,20021122,   46;
  260,20021123,   39;
  260,20021124,   39;
  260,20021125,   36;
  260,20021126,   25;
  260,20021127,   18;
  260,20021128,   56;
  260,20021129,   32;
  260,20021130,   17;
  260,20021201,   62;
  260,20021202,   49;
  260,20021203,   31;
  260,20021204,    3;
  260,20021205,   35;
  260,20021206,    7;
  260,20021207,  -22;
  260,20021208,  -38;
  260,20021209,  -79;
  260,20021210,  -87;
  260,20021211,  -82;
  260,20021212,  -71;
  260,20021213,  -44;
  260,20021214,  -10;
  260,20021215,    0;
  260,20021216,    8;
  260,20021217,   -9;
  260,20021218,  -58;
  260,20021219,  -18;
  260,20021220,  -40;
  260,20021221,   15;
  260,20021222,   19;
  260,20021223,   18;
  260,20021224,   65;
  260,20021225,   73;
  260,20021226,   82;
  260,20021227,   82;
  260,20021228,   76;
  260,20021229,   61;
  260,20021230,   18;
  260,20021231,  -10;
  260,20030101,   -9;
  260,20030102,   71;
  260,20030103,    9;
  260,20030104,  -57;
  260,20030105,  -75;
  260,20030106,  -26;
  260,20030107,  -82;
  260,20030108,  -88;
  260,20030109, -106;
  260,20030110,  -83;
  260,20030111,  -99;
  260,20030112,  -70;
  260,20030113,   26;
  260,20030114,   60;
  260,20030115,   48;
  260,20030116,   33;
  260,20030117,   14;
  260,20030118,   25;
  260,20030119,   14;
  260,20030120,   59;
  260,20030121,   63;
